city,area,bhk,rent,avg_income,size_sqft,furnishing,tenant_type
Chennai,Anna Nagar,1,17866,71464,1442,semi,Family
Hyderabad,Gachibowli,2,32868,131472,1387,Unfurnished,Bachelor
Hyderabad,Gachibowli,3,9128,27384,1018,Furnished,Family
Hyderabad,Gachibowli,3,27335,109340,939,semi,Bachelor
Hyderabad,Gachibowli,1,31461,94383,1277,Semi,Family
Hyderabad,Madhapur,3,59032,118064,569,semi,Family
Hyderabad,Madhapur,2,40115,120345,741,Unfurnished,Bachelor
Hyderabad,Madhapur,2,59229,296145,1394,Furnished,Family
Hyderabad,Madhapur,2,32797,131188,1409,semi,Family
Hyderabad,Kondapur,3,40758,203790,917,Furnished,Bachelor
Hyderabad,Kondapur,3,22543,90172,1225,Unfurnished,Family
Hyderabad,Kondapur,3,43879,175516,1264,Furnished,Family
Hyderabad,Kondapur,1,45440,227200,1203,Semi,Bachelor
Hyderabad,Begumpet,2,35626,178130,832,semi,Family
Hyderabad,Begumpet,3,35654,71308,595,Furnished,Family
Hyderabad,Begumpet,3,52107,260535,1346,Furnished,Family
Hyderabad,Begumpet,1,19054,38108,1164,Unfurnished,Family
Hyderabad,Ameerpet,3,14439,28878,1368,Semi,Family
Hyderabad,Ameerpet,3,21332,42664,919,Unfurnished,Family
Hyderabad,Ameerpet,1,56534,113068,1487,semi,Family
Hyderabad,Ameerpet,1,23979,119895,1535,semi,Bachelor
